artifact_key,change_type,source_kind,source_path,relative_path,before_size_bytes,after_size_bytes,before_mtime_utc,after_mtime_utc,before_sha256,after_sha256,before_file_class,after_file_class,before_copied_relative_path,after_copied_relative_path,priority,triage_score,reasons,text_diff_relative_path
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,files/playerInfo.dat,112029,112029,2026-03-23T23:53:58Z,2026-03-23T23:54:43Z,3b34c05dc3acf89bfb42eeaacc66a6c6e9ea23429c0a1ba14f77af79c354a28d,4bbfe9099813fe05a4695625e9e18bdb431711ee3bd58af83918697e5de29643,binary_state_blob,binary_state_blob,extracted\external_sdcard\files\playerInfo.dat,extracted\external_sdcard\files\playerInfo.dat,high,156,mtime_changed;hash_changed,
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,files/playerInfoBackup.dat,112029,112029,2026-03-23T23:53:58Z,2026-03-23T23:54:43Z,71d96302b29a5f5cad5b05ebc4175f39921e8fb8a0eff20a994504d3855a57f5,3661776a0b32a18deef7eb06896cd00ffe318e9c8036192399df99672a97146f,binary_state_blob,binary_state_blob,extracted\external_sdcard\files\playerInfoBackup.dat,extracted\external_sdcard\files\playerInfoBackup.dat,high,156,mtime_changed;hash_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,files/playerInfo.dat,112029,112029,2026-03-23T23:53:58Z,2026-03-23T23:54:43Z,3b34c05dc3acf89bfb42eeaacc66a6c6e9ea23429c0a1ba14f77af79c354a28d,4bbfe9099813fe05a4695625e9e18bdb431711ee3bd58af83918697e5de29643,binary_state_blob,binary_state_blob,extracted\external_storage_emulated\files\playerInfo.dat,extracted\external_storage_emulated\files\playerInfo.dat,high,156,mtime_changed;hash_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,files/playerInfoBackup.dat,112029,112029,2026-03-23T23:53:58Z,2026-03-23T23:54:43Z,71d96302b29a5f5cad5b05ebc4175f39921e8fb8a0eff20a994504d3855a57f5,3661776a0b32a18deef7eb06896cd00ffe318e9c8036192399df99672a97146f,binary_state_blob,binary_state_blob,extracted\external_storage_emulated\files\playerInfoBackup.dat,extracted\external_storage_emulated\files\playerInfoBackup.dat,high,156,mtime_changed;hash_changed,
windows_host|C:\ProgramData\BlueStacks_nxt\Logs\Player.log,modified,windows_host,C:\ProgramData\BlueStacks_nxt\Logs\Player.log,Player.log,8991412,8992086,2026-03-23T23:54:12Z,2026-03-23T23:54:31Z,,,log_or_text,log_or_text,extracted\bluestacks_player_log\Player.log,extracted\bluestacks_player_log\Player.log,low,51,size_changed;mtime_changed,
