artifact_key,change_type,source_kind,source_path,relative_path,before_size_bytes,after_size_bytes,before_mtime_utc,after_mtime_utc,before_sha256,after_sha256,before_file_class,after_file_class,before_copied_relative_path,after_copied_relative_path,priority,triage_score,reasons,text_diff_relative_path
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,files/playerInfo.dat,112054,112055,2026-03-24T02:02:58Z,2026-03-24T02:07:28Z,76354fffe1a1a5d03ba64c39b25e1ef56747b4b28306dc5a2f79959f57f29695,0585810dd1b90e71a10deef71b6cc6b6323441efdf3e7eab0a727b4082e8ddbc,binary_state_blob,binary_state_blob,extracted\external_sdcard\files\playerInfo.dat,extracted\external_sdcard\files\playerInfo.dat,high,172,size_changed;mtime_changed;hash_changed,
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,files/playerInfoBackup.dat,112054,112055,2026-03-24T02:02:58Z,2026-03-24T02:07:28Z,b16a5bd4e2297f747062595915ef45cc6b36b05ef89d4410f4f764bf4617d60c,e48df301692293b3cf1696137472d9d91d2b5d82474860bca7fbb90e435889ab,binary_state_blob,binary_state_blob,extracted\external_sdcard\files\playerInfoBackup.dat,extracted\external_sdcard\files\playerInfoBackup.dat,high,172,size_changed;mtime_changed;hash_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,files/playerInfo.dat,112054,112055,2026-03-24T02:02:58Z,2026-03-24T02:07:28Z,76354fffe1a1a5d03ba64c39b25e1ef56747b4b28306dc5a2f79959f57f29695,0585810dd1b90e71a10deef71b6cc6b6323441efdf3e7eab0a727b4082e8ddbc,binary_state_blob,binary_state_blob,extracted\external_storage_emulated\files\playerInfo.dat,extracted\external_storage_emulated\files\playerInfo.dat,high,172,size_changed;mtime_changed;hash_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,files/playerInfoBackup.dat,112054,112055,2026-03-24T02:02:58Z,2026-03-24T02:07:28Z,b16a5bd4e2297f747062595915ef45cc6b36b05ef89d4410f4f764bf4617d60c,e48df301692293b3cf1696137472d9d91d2b5d82474860bca7fbb90e435889ab,binary_state_blob,binary_state_blob,extracted\external_storage_emulated\files\playerInfoBackup.dat,extracted\external_storage_emulated\files\playerInfoBackup.dat,high,172,size_changed;mtime_changed;hash_changed,
windows_host|C:\ProgramData\BlueStacks_nxt\Logs\Player.log,modified,windows_host,C:\ProgramData\BlueStacks_nxt\Logs\Player.log,Player.log,9292679,9306343,2026-03-24T02:02:32Z,2026-03-24T02:06:36Z,,,log_or_text,log_or_text,extracted\bluestacks_player_log\Player.log,extracted\bluestacks_player_log\Player.log,low,51,size_changed;mtime_changed,
