artifact_key,change_type,source_kind,source_path,relative_path,before_size_bytes,after_size_bytes,before_mtime_utc,after_mtime_utc,before_sha256,after_sha256,before_file_class,after_file_class,before_copied_relative_path,after_copied_relative_path,priority,triage_score,reasons,text_diff_relative_path
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,files/playerInfo.dat,112055,112054,2026-03-24T02:14:58Z,2026-03-24T02:16:28Z,77a8aa3825d6d84be4863fc12f1c8cc2af65eb6342cab9a8894febb1d2bbdb1d,11115926c1039dd72ad277143218e16ac9d2e4e9141f39dc8e86258bd3a99d5d,binary_state_blob,binary_state_blob,extracted\external_sdcard\files\playerInfo.dat,extracted\external_sdcard\files\playerInfo.dat,high,172,size_changed;mtime_changed;hash_changed,
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,files/playerInfoBackup.dat,112055,112054,2026-03-24T02:14:58Z,2026-03-24T02:16:28Z,c5552ce11f4a23615d6f632fd8139d1d3e72dd1013069521b439a546d40ad1e0,52b86bee60ded8cd7ba7ffdb9769171e1eafe107ebe02259e31e7dfd3dfe3ebb,binary_state_blob,binary_state_blob,extracted\external_sdcard\files\playerInfoBackup.dat,extracted\external_sdcard\files\playerInfoBackup.dat,high,172,size_changed;mtime_changed;hash_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,files/playerInfo.dat,112055,112054,2026-03-24T02:14:58Z,2026-03-24T02:16:28Z,77a8aa3825d6d84be4863fc12f1c8cc2af65eb6342cab9a8894febb1d2bbdb1d,11115926c1039dd72ad277143218e16ac9d2e4e9141f39dc8e86258bd3a99d5d,binary_state_blob,binary_state_blob,extracted\external_storage_emulated\files\playerInfo.dat,extracted\external_storage_emulated\files\playerInfo.dat,high,172,size_changed;mtime_changed;hash_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,files/playerInfoBackup.dat,112055,112054,2026-03-24T02:14:58Z,2026-03-24T02:16:28Z,c5552ce11f4a23615d6f632fd8139d1d3e72dd1013069521b439a546d40ad1e0,52b86bee60ded8cd7ba7ffdb9769171e1eafe107ebe02259e31e7dfd3dfe3ebb,binary_state_blob,binary_state_blob,extracted\external_storage_emulated\files\playerInfoBackup.dat,extracted\external_storage_emulated\files\playerInfoBackup.dat,high,172,size_changed;mtime_changed;hash_changed,
windows_host|C:\ProgramData\BlueStacks_nxt\Logs\Player.log,modified,windows_host,C:\ProgramData\BlueStacks_nxt\Logs\Player.log,Player.log,9340543,9341217,2026-03-24T02:15:35Z,2026-03-24T02:15:53Z,,,log_or_text,log_or_text,extracted\bluestacks_player_log\Player.log,extracted\bluestacks_player_log\Player.log,low,51,size_changed;mtime_changed,
