artifact_key,change_type,source_kind,source_path,relative_path,before_size_bytes,after_size_bytes,before_mtime_utc,after_mtime_utc,before_sha256,after_sha256,before_file_class,after_file_class,before_copied_relative_path,after_copied_relative_path,priority,triage_score,reasons,text_diff_relative_path
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,files/playerInfo.dat,112055,112055,2026-03-24T02:10:28Z,2026-03-24T02:13:28Z,0e6ace3c34ec151dd59057415d8e47f783c52b1b7ef3c34987763e10a8412580,ad592a71df71a2d4c79c4dbcf4b942dd5da61cc244169d11cb2f63bf6d33d45d,binary_state_blob,binary_state_blob,extracted\external_sdcard\files\playerInfo.dat,extracted\external_sdcard\files\playerInfo.dat,high,156,mtime_changed;hash_changed,
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,files/playerInfoBackup.dat,112055,112055,2026-03-24T02:10:28Z,2026-03-24T02:13:28Z,f016004f44aeff41c4b42bf74aeacb2fdd4019ee2156a3c2a577f6910683f106,af508b07bcaff2f1ad0a6203dbbfea9fcf107f2a5d55baf8f99294f105c6d69e,binary_state_blob,binary_state_blob,extracted\external_sdcard\files\playerInfoBackup.dat,extracted\external_sdcard\files\playerInfoBackup.dat,high,156,mtime_changed;hash_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,files/playerInfo.dat,112055,112055,2026-03-24T02:10:28Z,2026-03-24T02:13:28Z,0e6ace3c34ec151dd59057415d8e47f783c52b1b7ef3c34987763e10a8412580,ad592a71df71a2d4c79c4dbcf4b942dd5da61cc244169d11cb2f63bf6d33d45d,binary_state_blob,binary_state_blob,extracted\external_storage_emulated\files\playerInfo.dat,extracted\external_storage_emulated\files\playerInfo.dat,high,156,mtime_changed;hash_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,files/playerInfoBackup.dat,112055,112055,2026-03-24T02:10:28Z,2026-03-24T02:13:28Z,f016004f44aeff41c4b42bf74aeacb2fdd4019ee2156a3c2a577f6910683f106,af508b07bcaff2f1ad0a6203dbbfea9fcf107f2a5d55baf8f99294f105c6d69e,binary_state_blob,binary_state_blob,extracted\external_storage_emulated\files\playerInfoBackup.dat,extracted\external_storage_emulated\files\playerInfoBackup.dat,high,156,mtime_changed;hash_changed,
windows_host|C:\ProgramData\BlueStacks_nxt\Logs\Player.log,modified,windows_host,C:\ProgramData\BlueStacks_nxt\Logs\Player.log,Player.log,9317612,9329357,2026-03-24T02:09:41Z,2026-03-24T02:12:50Z,,,log_or_text,log_or_text,extracted\bluestacks_player_log\Player.log,extracted\bluestacks_player_log\Player.log,low,51,size_changed;mtime_changed,
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/Unity/4e498457-fd46-4e1e-834f-7ac84a7a1acb/Analytics/ArchivedEvents,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/Unity/4e498457-fd46-4e1e-834f-7ac84a7a1acb/Analytics/ArchivedEvents,files/Unity/4e498457-fd46-4e1e-834f-7ac84a7a1acb/Analytics/ArchivedEvents,0,0,2026-03-24T01:57:28Z,2026-03-24T02:12:28Z,,,directory,directory,,,low,16,mtime_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/Unity/4e498457-fd46-4e1e-834f-7ac84a7a1acb/Analytics/ArchivedEvents,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/Unity/4e498457-fd46-4e1e-834f-7ac84a7a1acb/Analytics/ArchivedEvents,files/Unity/4e498457-fd46-4e1e-834f-7ac84a7a1acb/Analytics/ArchivedEvents,0,0,2026-03-24T01:57:28Z,2026-03-24T02:12:28Z,,,directory,directory,,,low,16,mtime_changed,
