artifact_key,change_type,source_kind,source_path,relative_path,before_size_bytes,after_size_bytes,before_mtime_utc,after_mtime_utc,before_sha256,after_sha256,before_file_class,after_file_class,before_copied_relative_path,after_copied_relative_path,priority,triage_score,reasons,text_diff_relative_path
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,files/playerInfo.dat,112055,112054,2026-03-24T02:02:13Z,2026-03-24T02:02:58Z,bb317996d5c3840cac705391aab0e79c88a83c4986db3c8596337034f7c663ac,76354fffe1a1a5d03ba64c39b25e1ef56747b4b28306dc5a2f79959f57f29695,binary_state_blob,binary_state_blob,extracted\external_sdcard\files\playerInfo.dat,extracted\external_sdcard\files\playerInfo.dat,high,172,size_changed;mtime_changed;hash_changed,
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,files/playerInfoBackup.dat,112055,112054,2026-03-24T02:02:13Z,2026-03-24T02:02:58Z,257c0682c8d817b7c153c0a18e7c46ecaca1a0878581a5ea91d72d26ef20cd99,b16a5bd4e2297f747062595915ef45cc6b36b05ef89d4410f4f764bf4617d60c,binary_state_blob,binary_state_blob,extracted\external_sdcard\files\playerInfoBackup.dat,extracted\external_sdcard\files\playerInfoBackup.dat,high,172,size_changed;mtime_changed;hash_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,files/playerInfo.dat,112055,112054,2026-03-24T02:02:13Z,2026-03-24T02:02:58Z,bb317996d5c3840cac705391aab0e79c88a83c4986db3c8596337034f7c663ac,76354fffe1a1a5d03ba64c39b25e1ef56747b4b28306dc5a2f79959f57f29695,binary_state_blob,binary_state_blob,extracted\external_storage_emulated\files\playerInfo.dat,extracted\external_storage_emulated\files\playerInfo.dat,high,172,size_changed;mtime_changed;hash_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,files/playerInfoBackup.dat,112055,112054,2026-03-24T02:02:13Z,2026-03-24T02:02:58Z,257c0682c8d817b7c153c0a18e7c46ecaca1a0878581a5ea91d72d26ef20cd99,b16a5bd4e2297f747062595915ef45cc6b36b05ef89d4410f4f764bf4617d60c,binary_state_blob,binary_state_blob,extracted\external_storage_emulated\files\playerInfoBackup.dat,extracted\external_storage_emulated\files\playerInfoBackup.dat,high,172,size_changed;mtime_changed;hash_changed,
windows_host|C:\ProgramData\BlueStacks_nxt\Logs\Player.log,modified,windows_host,C:\ProgramData\BlueStacks_nxt\Logs\Player.log,Player.log,9292005,9292679,2026-03-24T02:01:53Z,2026-03-24T02:02:32Z,,,log_or_text,log_or_text,extracted\bluestacks_player_log\Player.log,extracted\bluestacks_player_log\Player.log,low,51,size_changed;mtime_changed,
