member_path,file_size,compress_size,crc32_hex,sha256,extension,classification,interesting,notes,extracted_relative_path
META-INF/androidx.privacysandbox.ads_ads-adservices.version,13,13,bc706e90,6a47710af8eced6a36ebb3e6382b132c0a90e2eff666e93fc9a5ceb8e00c1601,.version,generic_apk_member,False,[],
META-INF/androidx.profileinstaller_profileinstaller.version,6,6,efcb0786,64d23f858ef51b0f996e4966d4e27c0371b437e2d2787890b1f7ad22d4ec5663,.version,generic_apk_member,False,[],
META-INF/androidx.room_room-runtime.version,6,6,ac94e608,f56c797a25f16ade37ae22d56124b085d6bc58d05cc9f73d2075f474c170204b,.version,generic_apk_member,False,[],
META-INF/androidx.savedstate_savedstate-ktx.version,6,6,4e6c51a2,6cf4e084b47f33c9b02ef79279d157833868f8f70514169a768be353ee328fea,.version,generic_apk_member,False,[],
META-INF/androidx.savedstate_savedstate.version,6,6,4e6c51a2,6cf4e084b47f33c9b02ef79279d157833868f8f70514169a768be353ee328fea,.version,generic_apk_member,False,[],
META-INF/androidx.sqlite_sqlite-framework.version,6,6,c356bda3,c89b87c262e9d5ffd20e73aac74a1772adcc9f5a21682cc33adcf5086e5fef5c,.version,generic_apk_member,False,[],
META-INF/androidx.sqlite_sqlite.version,6,6,c356bda3,c89b87c262e9d5ffd20e73aac74a1772adcc9f5a21682cc33adcf5086e5fef5c,.version,generic_apk_member,False,[],
META-INF/androidx.startup_startup-runtime.version,6,6,5cd9fe4c,cc52f678848b814373757b460383bf61960e4943c203735adde0a350b3e50989,.version,generic_apk_member,False,[],
META-INF/androidx.tracing_tracing.version,6,6,fd7ea868,59854984853104df5c353e2f681a15fc7924742f9a2e468c29af248dce45ce03,.version,generic_apk_member,False,[],
META-INF/androidx.vectordrawable_vectordrawable-animated.version,6,6,45c2cf0d,1575e1af4a95f12f70b4ee6a6adce8160953d93ea17dc2611b90883ccc3ad3b8,.version,generic_apk_member,False,[],
META-INF/androidx.vectordrawable_vectordrawable.version,6,6,45c2cf0d,1575e1af4a95f12f70b4ee6a6adce8160953d93ea17dc2611b90883ccc3ad3b8,.version,generic_apk_member,False,[],
META-INF/androidx.versionedparcelable_versionedparcelable.version,6,6,5cd9fe4c,cc52f678848b814373757b460383bf61960e4943c203735adde0a350b3e50989,.version,generic_apk_member,False,[],
META-INF/androidx.viewpager_viewpager.version,6,6,fd7ea868,59854984853104df5c353e2f681a15fc7924742f9a2e468c29af248dce45ce03,.version,generic_apk_member,False,[],
META-INF/androidx.webkit_webkit.version,15,15,66d7263a,82c7bd30088689ab26cf02a22880893bc3a08967147b33bcc04626b9d42dd2d7,.version,generic_apk_member,False,[],
META-INF/androidx.work_work-runtime-ktx.version,6,6,e63de27f,362148d7721ad4a1bb64981ff8d604ef7f4d22267ea8845042f54f90940f24fd,.version,generic_apk_member,False,[],
META-INF/androidx.work_work-runtime.version,6,6,e63de27f,362148d7721ad4a1bb64981ff8d604ef7f4d22267ea8845042f54f90940f24fd,.version,generic_apk_member,False,[],
META-INF/com/android/build/gradle/app-metadata.properties,56,52,d1f06b7f,a4a8597228839fcb30b7efe810e814dd6699fab9453d8354d7991eca0620f138,.properties,generic_apk_member,False,[],
META-INF/com/unity3d/ads-mediation/adquality-sdk/verification.properties,148,136,9e34d3c7,3ec11d2b413ae188321e865d58fa86083c9c78eb2159e6d151a805bc65750bae,.properties,generic_apk_member,False,[],
META-INF/com/unity3d/ads-mediation/mediation-sdk/verification.properties,148,132,0290c73b,5baba25c3f77fa76972edb345b5711522061fd6f872370814c70e32b99d434ba,.properties,generic_apk_member,False,[],
META-INF/com.android.games.engine.build_fingerprint,68,68,dc7e05c3,48baaec65a8a239d7d8314be1f6fb849cdbe2f6226c1205cb179ef37360a7174,.build_fingerprint,generic_apk_member,False,[],
META-INF/kotlinx_coroutines_android.version,5,5,8f7d2509,179f9b723b6508aa1d6ce99991e8cd549ca819ee1b9b6102396c47815beffaaf,.version,generic_apk_member,False,[],
META-INF/kotlinx_coroutines_core.version,5,5,8f7d2509,179f9b723b6508aa1d6ce99991e8cd549ca819ee1b9b6102396c47815beffaaf,.version,generic_apk_member,False,[],
META-INF/kotlinx_coroutines_play_services.version,5,5,8f7d2509,179f9b723b6508aa1d6ce99991e8cd549ca819ee1b9b6102396c47815beffaaf,.version,generic_apk_member,False,[],
META-INF/services/io.grpc.LoadBalancerProvider,156,91,db0d0442,954e680c1e35ee2ca7a7feb44391ff96bfddb648f1065cc0a48fd6ded6d4e614,.loadbalancerprovider,generic_apk_member,False,[],
META-INF/services/io.grpc.ManagedChannelProvider,37,37,46e348ff,a0ebc6fb7d2b272d73d2b6eb8249b315016f58b8e1f5e10177c623993e117914,.managedchannelprovider,generic_apk_member,False,[],
META-INF/services/io.grpc.NameResolverProvider,41,41,84cd5200,8fb9f9062afa2d8efefb93b8c584d03bacfc3e40ce19291d1e1bd9c505011296,.nameresolverprovider,generic_apk_member,False,[],
META-INF/services/io.grpc.ServerProvider,36,36,884d62c5,64720088810a85d8e8017ad1c9c3979a5903d60eca13b1fc550ade020d23f0f2,.serverprovider,generic_apk_member,False,[],
META-INF/services/kotlinx.coroutines.CoroutineExceptionHandler,54,50,8f594b50,3129b8edf6db07de6f8ff47695e2177c8bba4eed2962d3085c719e5acbb58a33,.coroutineexceptionhandler,generic_apk_member,False,[],
META-INF/services/kotlinx.coroutines.internal.MainDispatcherFactory,52,49,4b95597f,a1ea77ea8f93f419256b6e66f29713f950d8d6e90442b608d880a48003b5eb72,.maindispatcherfactory,generic_apk_member,False,[],
assets/UnityServicesProjectConfiguration.json,1093,1093,e70e2b92,db3240378a263aa9698e94de8a055f2fa7e93a6b08681c27f6a255252f9b5582,.json,generic_apk_member,False,[],
assets/ad-viewer/omid-session-client-v1.js,68100,13253,0a380fa3,f15e5ce012c87bd32c15d71d2fd0b954b9b2fd9d5818d817b3820af3d93d5a35,.js,generic_apk_member,False,[],
assets/ad-viewer/omsdk-v1.js,43924,14548,c9cb8679,896cf905b2b562818da58e19e25b525083f18638f6b9b0d7c6aea411a9907585,.js,generic_apk_member,False,[],
assets/audience_network.dex,5017908,2369470,7dda0d2f,07fef7ea41d84ccf44ef2e2a6de8d23e3d3dd5920c87979a1d501a9cb6272496,.dex,dex_bytecode,False,[],
assets/bin/Data/Managed/Metadata/global-metadata.dat,9430316,2679430,3652df7b,a463d6da862e091365043898f90b6065af7f7c572a89a1712ff787c14d458f61,.dat,il2cpp_metadata,True,['il2cpp_metadata'],extracted_members\assets\bin\Data\Managed\Metadata\global-metadata.dat
assets/bin/Data/Managed/Resources/System.Data.dll-resources.dat,93718,7957,6622a023,98a7950ec6de3242c2e190dfa630188dfa32511a125542b94baa952d1c757d49,.dat,generic_apk_member,False,[],
assets/bin/Data/Managed/Resources/System.Drawing.dll-resources.dat,25453,9716,296392f1,7c33aa707bc3fdc83991b81a97d6fc622b140762a767300f08f616c2c0a91255,.dat,generic_apk_member,False,[],
assets/bin/Data/Managed/Resources/mscorlib.dll-resources.dat,337563,126076,d475b854,c5baa176a5b72cd545266340e42102d393a5e43d38c95796bc828918bb95277f,.dat,generic_apk_member,False,[],
assets/bin/Data/RuntimeInitializeOnLoads.json,4331,4331,ca83902f,10ef0bef702e01ba4b1bd289a0442b6a7e2435b7ae4ba08728d80ed168de38fb,.json,generic_apk_member,False,[],
assets/bin/Data/ScriptingAssemblies.json,4390,4390,f0b9255e,92e3c080c1819ea14fcacd1d1236d6510fbe94898624651d21d876727a866ab0,.json,generic_apk_member,False,[],
assets/bin/Data/boot.config,127,108,71caa252,aa76216ba65471d9506c660af802e146f4631faf235f60368bfe4d3553733646,.config,generic_apk_member,False,[],
assets/bin/Data/data.unity3d,50510298,50510298,0df4cbee,b6710eda5f69bc777642a258dfef10f50037f102f9a0feba6e6f8c5695dbffb8,.unity3d,generic_apk_member,False,[],
assets/bin/Data/resources.resource,92352,92352,15b0e327,192275132733aa7e0e0629894aaf04de731f019a8a987739d34010973e31bdc2,.resource,generic_apk_member,False,[],
assets/bin/Data/sharedassets0.resource,17609696,17609696,9893e2fb,b8e6ddde5576e63003bfd60fc51125bd4b22a1e7a3aeefcb9df5e761e4bb1f03,.resource,generic_apk_member,False,[],
assets/bin/Data/unity default resources,4222168,420327,881d12d4,05f10fe5e4ad3045d922265640ee1fcf7bf4bbf509c26b4d394eff7ec07690a1,,generic_apk_member,False,[],
assets/bin/Data/unity_app_guid,36,36,9257849f,2f01b33672201ff6a4aa25e62ec2432ef14b7f95d81cef07f7a87de269a9604b,,generic_apk_member,False,[],
assets/com/appsflyer/internal/28445207a6f5af97c-,6617,6617,f867f4a3,a02a699224c60c5c804f3dfca14a49663b65fd478611ae729ddb0d4435ac5e21,,generic_apk_member,False,[],
assets/com/appsflyer/internal/2b7867f15e66c02ea-,7308,7308,6805b31c,8440cdb2c31f3e51c9304c9b3efed0dd894a5687697fafeba551b244da08b738,,generic_apk_member,False,[],
assets/com/appsflyer/internal/d1bb394ba89138f2d-,3497,3497,c00c8c8c,90a9289de505a66adea30ce849c520299e74118967524ea1ca11acb5beae9c40,,generic_apk_member,False,[],
assets/com/appsflyer/internal/eebc3677933725bab-,13460,13460,b05cbbed,f82aea6050f3eeb7683922ad5eeb8d5fdc2f7acca5206f396be38f7d95adad07,,generic_apk_member,False,[],
assets/dexopt/baseline.prof,807,807,d7fad110,77a63bfb055ad551fd8100460681119a24541e4e11083307f042e6f1c70150e4,.prof,generic_apk_member,False,[],
assets/dexopt/baseline.profm,116,116,5a1b64f0,b6bb99fef66e6cc497ba17a9226631ddd6219ec967d232c6e0f10159f30d18d7,.profm,generic_apk_member,False,[],
