artifact_key,change_type,source_kind,source_path,relative_path,before_size_bytes,after_size_bytes,before_mtime_utc,after_mtime_utc,before_sha256,after_sha256,before_file_class,after_file_class,before_copied_relative_path,after_copied_relative_path,priority,triage_score,reasons,text_diff_relative_path
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,files/playerInfo.dat,112054,112054,2026-03-24T02:16:28Z,2026-03-24T02:19:28Z,11115926c1039dd72ad277143218e16ac9d2e4e9141f39dc8e86258bd3a99d5d,0e170da09985ae747854988233f24eed316114d1f204d4eefed4edd25f01f237,binary_state_blob,binary_state_blob,extracted\external_sdcard\files\playerInfo.dat,extracted\external_sdcard\files\playerInfo.dat,high,156,mtime_changed;hash_changed,
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,files/playerInfoBackup.dat,112054,112054,2026-03-24T02:16:28Z,2026-03-24T02:19:29Z,52b86bee60ded8cd7ba7ffdb9769171e1eafe107ebe02259e31e7dfd3dfe3ebb,d45a3ca7a1e8851d557fe4e85134c6168d92798145ab678661fac47f49e4501d,binary_state_blob,binary_state_blob,extracted\external_sdcard\files\playerInfoBackup.dat,extracted\external_sdcard\files\playerInfoBackup.dat,high,156,mtime_changed;hash_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,files/playerInfo.dat,112054,112054,2026-03-24T02:16:28Z,2026-03-24T02:19:28Z,11115926c1039dd72ad277143218e16ac9d2e4e9141f39dc8e86258bd3a99d5d,0e170da09985ae747854988233f24eed316114d1f204d4eefed4edd25f01f237,binary_state_blob,binary_state_blob,extracted\external_storage_emulated\files\playerInfo.dat,extracted\external_storage_emulated\files\playerInfo.dat,high,156,mtime_changed;hash_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,files/playerInfoBackup.dat,112054,112054,2026-03-24T02:16:28Z,2026-03-24T02:19:29Z,52b86bee60ded8cd7ba7ffdb9769171e1eafe107ebe02259e31e7dfd3dfe3ebb,d45a3ca7a1e8851d557fe4e85134c6168d92798145ab678661fac47f49e4501d,binary_state_blob,binary_state_blob,extracted\external_storage_emulated\files\playerInfoBackup.dat,extracted\external_storage_emulated\files\playerInfoBackup.dat,high,156,mtime_changed;hash_changed,
windows_host|C:\ProgramData\BlueStacks_nxt\Logs\Player.log,modified,windows_host,C:\ProgramData\BlueStacks_nxt\Logs\Player.log,Player.log,9341217,9353470,2026-03-24T02:15:53Z,2026-03-24T02:18:39Z,,,log_or_text,log_or_text,extracted\bluestacks_player_log\Player.log,extracted\bluestacks_player_log\Player.log,low,51,size_changed;mtime_changed,
