artifact_key,change_type,source_kind,source_path,relative_path,before_size_bytes,after_size_bytes,before_mtime_utc,after_mtime_utc,before_sha256,after_sha256,before_file_class,after_file_class,before_copied_relative_path,after_copied_relative_path,priority,triage_score,reasons,text_diff_relative_path
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,files/playerInfo.dat,112029,112029,2026-03-23T23:48:44Z,2026-03-23T23:50:14Z,3b8b7382bbde5997ee78040f40f04b63364686f83b1e858fef483ae1334349dd,585ce1eab9d7aa67ef2ff10a5a19d236c73e145813694662d84a8da954d17221,binary_state_blob,binary_state_blob,extracted\external_sdcard\files\playerInfo.dat,extracted\external_sdcard\files\playerInfo.dat,high,156,mtime_changed;hash_changed,
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,files/playerInfoBackup.dat,112029,112029,2026-03-23T23:48:44Z,2026-03-23T23:50:14Z,c67c82b9bf04d151640acdd798f47b446a97f8df3699e702f972938f87d02434,becb6dcd6936f93b5b4a68bb6d05eb508f5dad53443e2adad213ac69af3295f8,binary_state_blob,binary_state_blob,extracted\external_sdcard\files\playerInfoBackup.dat,extracted\external_sdcard\files\playerInfoBackup.dat,high,156,mtime_changed;hash_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,files/playerInfo.dat,112029,112029,2026-03-23T23:48:44Z,2026-03-23T23:50:14Z,3b8b7382bbde5997ee78040f40f04b63364686f83b1e858fef483ae1334349dd,585ce1eab9d7aa67ef2ff10a5a19d236c73e145813694662d84a8da954d17221,binary_state_blob,binary_state_blob,extracted\external_storage_emulated\files\playerInfo.dat,extracted\external_storage_emulated\files\playerInfo.dat,high,156,mtime_changed;hash_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,files/playerInfoBackup.dat,112029,112029,2026-03-23T23:48:44Z,2026-03-23T23:50:14Z,c67c82b9bf04d151640acdd798f47b446a97f8df3699e702f972938f87d02434,becb6dcd6936f93b5b4a68bb6d05eb508f5dad53443e2adad213ac69af3295f8,binary_state_blob,binary_state_blob,extracted\external_storage_emulated\files\playerInfoBackup.dat,extracted\external_storage_emulated\files\playerInfoBackup.dat,high,156,mtime_changed;hash_changed,
windows_host|C:\ProgramData\BlueStacks_nxt\Logs\Player.log,modified,windows_host,C:\ProgramData\BlueStacks_nxt\Logs\Player.log,Player.log,8988117,8988892,2026-03-23T23:49:05Z,2026-03-23T23:50:08Z,,,log_or_text,log_or_text,extracted\bluestacks_player_log\Player.log,extracted\bluestacks_player_log\Player.log,low,51,size_changed;mtime_changed,
