artifact_key,change_type,source_kind,source_path,relative_path,before_size_bytes,after_size_bytes,before_mtime_utc,after_mtime_utc,before_sha256,after_sha256,before_file_class,after_file_class,before_copied_relative_path,after_copied_relative_path,priority,triage_score,reasons,text_diff_relative_path
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,files/playerInfo.dat,112036,112028,2026-03-23T23:44:59Z,2026-03-23T23:45:44Z,4f8840f3d9dec9d48af694c538191bb125e8a86fa3abc9ffa6930f7a1b3387ed,5ce6b3fe4d1b70b49cbdeaf15c9c90a1bc7f3ba96d5c67728dfa4e351cdafbe9,binary_state_blob,binary_state_blob,extracted\external_sdcard\files\playerInfo.dat,extracted\external_sdcard\files\playerInfo.dat,high,172,size_changed;mtime_changed;hash_changed,
adb_external|/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,modified,adb_external,/sdcard/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,files/playerInfoBackup.dat,112036,112028,2026-03-23T23:44:59Z,2026-03-23T23:45:44Z,9c6b56465655b988377e16fb80906b713c0e94cdf5a85ba0e90f590dcfca61d2,e4862de25cdd1fa364c8ec5b98e6993c611955b3a2552103faa3e1d6afc23194,binary_state_blob,binary_state_blob,extracted\external_sdcard\files\playerInfoBackup.dat,extracted\external_sdcard\files\playerInfoBackup.dat,high,172,size_changed;mtime_changed;hash_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfo.dat,files/playerInfo.dat,112036,112028,2026-03-23T23:44:59Z,2026-03-23T23:45:44Z,4f8840f3d9dec9d48af694c538191bb125e8a86fa3abc9ffa6930f7a1b3387ed,96f118922c297770041c250fafa203ec5ab321302b279231568fdbed998166ae,binary_state_blob,binary_state_blob,extracted\external_storage_emulated\files\playerInfo.dat,extracted\external_storage_emulated\files\playerInfo.dat,high,172,size_changed;mtime_changed;hash_changed,
adb_external|/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,modified,adb_external,/storage/emulated/0/Android/data/com.TironiumTech.IdlePlanetMiner/files/playerInfoBackup.dat,files/playerInfoBackup.dat,112036,112028,2026-03-23T23:44:59Z,2026-03-23T23:45:44Z,9c6b56465655b988377e16fb80906b713c0e94cdf5a85ba0e90f590dcfca61d2,cb9d354bd42de4089bb306ed274fd2de6b6de84b53bef6dcf84f808375d94d5f,binary_state_blob,binary_state_blob,extracted\external_storage_emulated\files\playerInfoBackup.dat,extracted\external_storage_emulated\files\playerInfoBackup.dat,high,172,size_changed;mtime_changed;hash_changed,
windows_host|C:\ProgramData\BlueStacks_nxt\Logs\Player.log,modified,windows_host,C:\ProgramData\BlueStacks_nxt\Logs\Player.log,Player.log,8985128,8985804,2026-03-23T23:45:07Z,2026-03-23T23:45:36Z,,,log_or_text,log_or_text,extracted\bluestacks_player_log\Player.log,extracted\bluestacks_player_log\Player.log,low,51,size_changed;mtime_changed,
